동,경사도,자전거도로길이,총거치대수,총대여수,인구,면적,지하철역개수,버스정거장개수,스타벅스매장수,공시지가
망원2동,-9.4027,2201.0,82.0,119712.0,19386,0.67,0,33,0,3457977
면목2동,-15.12,2366.0,15.0,16940.0,25942,0.73,0,23,0,2633984
면목3·8동,-122.6671,2971.6132075471696,20.0,25860.0,26589,1.67,1,27,0,1121070
면목4동,-88.3652,566.0,95.0,49021.0,20052,1.1,1,13,0,1599303
면목5동,-15.7095,1271.0,65.0,22891.0,9825,0.64,0,14,0,1676695
면목7동,-137.3506,2971.6132075471696,20.0,6567.0,22200,0.87,0,17,1,1176242
면목본동,-28.8569,2971.6132075471696,30.0,19594.0,36195,1.01,1,28,0,2790124
명동,-37.4985,2971.6132075471696,151.0,59367.0,3567,0.99,2,24,19,24999221
명일1동,-31.9792,6146.0,122.0,61057.0,26758,0.61,1,21,2,3690195
명일2동,-35.8232,7664.0,50.0,26181.0,17778,0.97,0,16,1,2383416
목1동,-8.1879,17388.0,195.0,161180.0,32173,1.41,2,28,7,3158170
목2동,-20.17,6179.0,30.0,21188.0,31477,1.03,1,17,0,2730985
목3동,-25.1176,300.0,31.0,15080.0,23095,0.53,0,9,1,3928102
목4동,-13.9386,2317.0,59.0,47727.0,26909,0.57,0,14,0,3400286
목5동,-8.2914,9909.0,105.0,94214.0,42948,1.81,0,42,3,1864823
무악동,-111.7871,2971.6132075471696,31.0,9592.0,8740,0.36,1,6,0,1830240
묵1동,-45.9283,3029.0,95.0,40145.0,36016,1.2,1,32,2,1965655
묵2동,-18.1833,2598.0,35.0,30656.0,19901,0.7,0,19,0,1821946
문래동,-10.1749,5953.0,93.0,103830.0,31963,1.49,1,42,3,3328415
문정1동,-32.8144,2872.0,33.0,32750.0,21301,0.56,1,17,0,4864488
문정2동,-18.8467,9816.0,172.0,128997.0,29967,2.2,2,17,5,1231060
미성동,-43.5885,2971.6132075471696,40.0,28508.0,32751,1.38,0,35,0,2272694
미아동,-63.1605,2971.6132075471696,109.0,62593.0,22814,0.93,1,27,1,2592708
반포1동,-18.3898,2971.6132075471696,65.0,23442.0,33237,1.0,1,25,2,7824869
반포2동,-10.766,4369.0,56.0,35982.0,16385,1.35,1,17,0,4628459
반포3동,-10.9822,1362.0,0.0,0.0,20390,1.28,1,15,1,5292502
반포4동,-29.674,763.0,78.0,94279.0,20232,1.43,1,35,6,5617821
